timestamp,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,aperture,gripper_vel,contact_force
1719878543.6150222,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,26.887918823631228,7.852588984277445,0.086893554
1719878543.747335,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,26.197152866097774,5.220704949449324,0.053138499382716045
1719878543.8799798,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,25.045895344832715,8.679245059291711,0.10720072160493828
1719878544.0269158,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,23.89524555635873,7.83096218752022,0.032121746
1719878544.1731956,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,22.975033573543588,6.290765424974144,0.05094725
1719878544.2916603,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,21.82515233224397,9.706529965983433,1.0339243450000002
1719878544.4249446,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,20.906064257302923,6.895694883285546,0.9028452250000002
1719878544.5573795,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,19.987652462781277,6.934819871045375,0.9028452250000002
1719878544.7032175,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,19.07001318513656,6.292181309100456,0.078281345
1719878544.8488631,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,17.924663529732697,7.86394858754889,0.6218914208000001
1719878544.9970431,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,17.237436711489014,4.637783651267802,0.10512086400000001
1719878545.1597397,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,16.093698894930046,7.029881490073322,0.1262988694214876
1719878545.29342,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,15.864835708441316,1.7120182390144199,0.05388969938271605
