0
[-0.264921   -0.048262    0.100835    2.89014128  0.06305351 -1.6071668 ]
[-0.264903   -0.048193    0.0999      2.89010061  0.06308553 -1.60706324]
[-0.264563   -0.047824    0.094299    2.89043868  0.06301341 -1.60741353]
[-0.26415    -0.047012    0.084295    2.89031708  0.06336707 -1.60728779]
[-0.263444   -0.046032    0.069591    2.89048466  0.06334197 -1.60716718]
[-0.26293    -0.045008    0.054609    2.89009419  0.06323538 -1.60721612]
[-0.262435   -0.04425     0.044059    2.89024635  0.06333989 -1.60726138]
[-0.262226   -0.043924    0.038199    2.89012253  0.06316116 -1.60719423]
[-0.262146   -0.04387     0.036834    2.89014237  0.06310195 -1.60721697]
[-0.262091   -0.043876    0.036786    2.89032452  0.06308683 -1.60717534]
[-0.262099   -0.043886    0.036799    2.89031991  0.06306744 -1.60714628]
[-0.262095   -0.043873    0.036782    2.8903379   0.06309321 -1.60715104]
[-0.262088   -0.043889    0.036773    2.89035851  0.06307405 -1.60708561]
[-0.262088   -0.043885    0.036781    2.89034693  0.06307448 -1.6070847 ]
[-0.262126   -0.043875    0.036835    2.89021651  0.06309395 -1.60712716]
[-0.262089   -0.043872    0.036783    2.89036207  0.06308872 -1.60712547]
