0
[-0.262098   -0.043905    0.036811    2.8903072   0.06300361 -1.60709047]
[-0.26222    -0.043904    0.037741    2.88999891  0.06310079 -1.60717438]
[-0.262477   -0.044312    0.042912    2.88977129  0.06301235 -1.60690459]
[-0.26293    -0.045064    0.05265     2.88973833  0.06277455 -1.60698052]
[-0.263519   -0.046029    0.066916    2.88989652  0.06285857 -1.6069679 ]
[-0.264128   -0.047046    0.082276    2.8901023   0.06288057 -1.60717956]
[-0.264565   -0.047827    0.093041    2.89014351  0.06284217 -1.60704962]
[-0.264882   -0.048254    0.099299    2.89003539  0.06280276 -1.60706046]
[-0.264935   -0.048229    0.100866    2.89001887  0.06310762 -1.60714185]
[-0.264922   -0.048245    0.100867    2.89000639  0.06310414 -1.60711737]
[-0.264945   -0.048238    0.100885    2.88996768  0.06309633 -1.60715243]
[-0.264922   -0.048242    0.100863    2.89003981  0.06308846 -1.6071623 ]
[-0.264941   -0.048234    0.100868    2.89003935  0.06308869 -1.60717415]
[-0.264932   -0.048246    0.100861    2.89007114  0.06306678 -1.60719384]
[-0.264911   -0.048237    0.10084     2.8901352   0.06308495 -1.60722276]
[-0.264912   -0.048239    0.100821    2.89015551  0.0630604  -1.60722795]
