timestamp,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,aperture,gripper_vel,contact_force,applied_force
1720475602.8317513,0.0,0.0,-0.0,0.0,0.0,0.0,52.347000411720636,0.0,0.0,0.0
1720475602.9317513,-0.012297,8.9e-05,0.080074,-0.080822,0.0,-0.026485,52.347000411720636,0.0,0.0,0.0
1720475603.0317512,-0.02595,0.014368,0.197078,-0.213583,0.033436,-0.01184,52.347000411720636,0.0,0.0,0.0
1720475603.131751,-0.037787,0.032047,0.316384,-0.33158,-0.003955,-0.038589,52.347000411720636,0.0,0.0,0.0
1720475603.231751,-0.051964,0.06784,0.429873,-0.4955,-0.009324,-0.04705,52.347000411720636,0.0,0.0,0.0
1720475603.3317509,-0.061295,0.136154,0.53077,-0.658533,0.008748,-0.057213,52.347000411720636,0.0,0.0,0.0
1720475603.4317508,-0.063072,0.225943,0.565694,-0.786429,0.003931,-0.059753,52.347000411720636,0.0,0.0,0.0
1720475603.5317507,-0.046147,0.243034,0.436034,-0.694198,0.00302,-0.042616,52.347000411720636,0.0,0.0,0.0
1720475603.6317506,-0.034016,0.223833,0.323849,-0.558633,0.032381,-0.03207,52.347000411720636,0.0,0.0,0.0
1720475603.7317505,-0.021399,0.176779,0.212661,-0.390854,0.018504,-0.014165,52.347000411720636,0.0,0.0,0.0
1720475603.8317504,-0.010227,0.097114,0.105027,-0.212408,-0.036456,-0.019582,52.347000411720636,0.0,0.0,0.0
1720475603.9317503,-0.000908,0.00758,0.00634,-0.012104,-0.049471,-0.00175,52.347000411720636,0.0,0.0,0.0
1720475604.0317502,-0.00046,-0.000422,-0.000511,0.001438,0.0,-0.000551,52.347000411720636,0.0,0.0,0.0
1720475604.13175,-0.000217,0.0,-0.000217,0.000455,0.0,-0.00115,52.347000411720636,0.0,0.0,0.0
1720475604.23175,-0.000128,0.0,-0.000141,0.000264,0.0,-0.000479,52.347000411720636,0.0,0.0,0.0
1720475604.33175,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,52.347000411720636,0.0,0.0,0.0
1720475604.4317498,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,52.347000411720636,0.0,0.03402344320987655,9.81
1720475604.6210525,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,49.234430005955886,16.44229420559213,0.3066321678698223,9.81
1720475604.739072,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,48.11667547548649,9.470924422064034,0.09030325,10.110000000000001
1720475604.9443116,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,46.089342078691985,9.877889281604732,0.07418113571428572,10.110000000000001
1720475605.1330245,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,43.606332076499385,13.15761059966524,1.3251958516568048,10.110000000000001
1720475605.2951024,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,42.01950066329429,9.790547486822364,0.090205826446281,10.410000000000002
1720475605.48498,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,38.83020345459971,16.79658219074026,0.050459076923076926,10.410000000000002
1720475605.6323953,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,37.91720537834048,6.193379766662331,0.1234408405,10.410000000000002
1720475605.808848,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,35.85491197811757,11.687518183760707,0.1766839125,10.710000000000003
1720475605.9968724,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,34.01952180184345,9.761440517132497,0.48134204053254426,11.010000000000003
1720475606.1569676,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,31.9516970700891,12.916218225338666,1.918665603305785,11.310000000000004
1720475606.3445733,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,29.88116121050554,11.036640937880565,0.08988823224852072,11.610000000000005
1720475606.5192697,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,27.80900566920235,11.861463670806616,0.14477160555555557,11.610000000000005
1720475606.678829,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,25.736662229407532,12.98792418101901,2.612170172975207,11.910000000000005
1720475606.8534913,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,23.89524555635873,10.542722321629075,0.175144053125,12.210000000000006
1720475607.0280714,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,22.05528107267126,10.5393714015152,0.07967369444444444,12.510000000000007
1720475607.187995,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,20.21753996628698,11.491372387281451,0.11291355578512396,12.510000000000007
1720475607.3761752,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,17.924663529732697,12.184471780593043,0.2447581685207102,12.810000000000008
1720475607.5522304,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,16.093698894930046,10.399946767544746,0.077710353125,13.110000000000008
1720475607.7142518,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,15.636883493855908,2.8194757308504705,0.41766746280991784,13.110000000000008
1720475607.903581,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,13.357652128561622,12.038459990604867,2.6742815745266277,13.410000000000009
1720475608.0946474,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,12.446861532016179,4.766877394746056,1.6105272610650885,13.71000000000001
1720475608.3129628,-0.000102,0.0,-0.000102,0.000192,0.0,-0.000479,11.992577812429356,2.080860061744087,5.051140715,14.01000000000001
1720475608.4129627,0.0,0.0,-0.0,0.0,0.0,0.0,11.992577812429356,0.0,5.051140715,14.01000000000001
